Archivo: python_highlevel_cruz_20260905_122559.csv
Duración registrada: 44.94 s

Dron 1: 433 muestras; altura MoCap máxima = 1.262 m
Dron 1: frecuencia MoCap media = 20.2 Hz; mínima = 18.1 Hz
Dron 1: sobrepaso vertical máximo = +0.318 m
Dron 2: 433 muestras; altura MoCap máxima = 1.287 m
Dron 2: frecuencia MoCap media = 20.3 Hz; mínima = 18.1 Hz
Dron 2: sobrepaso vertical máximo = +0.255 m
Separación mínima registrada = 0.257 m

Eventos:
t=0.0 s | SISTEMA | PREFLIGHT_HIGHLEVEL_OK
t=24.828 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=24.828 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=24.937 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=24.937 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=30.531 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=30.531 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=30.656 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=30.656 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=30.765 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=30.765 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=30.875 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=30.875 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=31.0 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=31.0 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=31.125 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=31.125 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=31.25 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=31.25 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=31.39 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=31.39 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=31.515 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=31.515 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=31.625 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=31.625 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=31.75 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=31.75 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=31.859 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=31.859 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=32.0 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=32.0 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=32.125 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=32.125 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=32.265 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=32.265 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=32.39 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=32.39 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=32.531 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=32.531 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=32.64 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=32.64 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=32.765 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=32.765 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=32.875 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=32.875 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=33.0 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=33.0 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=33.109 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=33.109 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=33.25 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=33.25 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=33.375 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=33.375 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=33.5 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=33.5 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
